id,custId,custName,account,method,merchant,location,device,ip,amount,score,risk,status,dt
TX-000001,CUST-0026,Hamza Iqbal,2.11755E+11,UPI,Careem,Lahore,MacBook,151.72.208.223,73.62,81,Critical,Flagged,4/19/2026 16:22
TX-000002,CUST-0349,Usman Malik,2.71333E+11,Wallet,Uber,London,Android,181.18.12.170,2241.12,20,Low,Cleared,4/5/2026 12:22
TX-000003,CUST-0876,Fatima Raza,3.48137E+11,ATM,Careem,Islamabad,Tablet,57.176.84.216,7531.79,37,Medium,Under Review,4/21/2026 2:49
TX-000004,CUST-0842,Ali Ansari,4.09572E+11,UPI,AliExpress,New York,Tablet,110.230.150.103,3553.95,7,Low,Cleared,4/14/2026 7:48
TX-000005,CUST-0506,Sara Khan,8.11654E+11,Card,AliExpress,New York,Windows PC,29.76.112.41,4451.96,17,Low,Cleared,4/1/2026 13:26
TX-000006,CUST-0996,Mariam Malik,5.16851E+11,ATM,Amazon,Karachi,Windows PC,225.253.213.207,3020.56,92,Critical,Blocked,4/12/2026 18:17
TX-000007,CUST-0900,Bilal Raza,40771452842,UPI,Shopify,New York,Windows PC,103.172.167.96,4299,7,Low,Cleared,4/13/2026 18:53
TX-000008,CUST-0124,Fatima Sheikh,5507000352,ATM,Shopify,London,Android,186.240.226.147,5651.11,66,High,Flagged,4/4/2026 4:50
TX-000009,CUST-0827,Hassan Sheikh,63480660781,Bank Transfer,Shopify,London,MacBook,36.109.47.72,4539.13,31,Medium,Under Review,4/3/2026 5:22
TX-000010,CUST-0828,Mariam Raza,98998142403,ATM,AliExpress,Dubai,Windows PC,109.179.246.188,9755.19,9,Low,Cleared,4/4/2026 13:57
TX-000011,CUST-0159,Fatima Iqbal,2.0703E+11,Card,Daraz,New York,Android,104.31.242.228,5587.12,71,High,Flagged,4/2/2026 14:24
TX-000012,CUST-0041,Bilal Raza,4.55927E+11,Card,Amazon,Dubai,Tablet,145.26.19.138,2096.78,74,High,Flagged,3/28/2026 16:36
TX-000013,CUST-0956,Ayesha Raza,8.31877E+11,Bank Transfer,AliExpress,Karachi,iPhone,191.142.40.70,2768.39,33,Medium,Under Review,4/18/2026 17:18
TX-000014,CUST-0209,Noor Iqbal,5.29068E+11,ATM,Amazon,Karachi,iPhone,242.227.177.232,1469.24,26,Low,Cleared,4/9/2026 3:27
TX-000015,CUST-0597,Mariam Malik,4.0399E+11,UPI,Binance,Lahore,Android,250.205.208.46,8639.06,4,Low,Cleared,4/7/2026 22:42
TX-000016,CUST-0755,Ayesha Syed,8.88272E+11,Bank Transfer,Shopify,Karachi,Android,103.85.72.222,689.63,3,Low,Cleared,4/16/2026 14:04
TX-000017,CUST-0360,Noor Qureshi,3.95919E+11,Wallet,Careem,London,Tablet,30.99.231.148,1870.87,98,Critical,Blocked,4/12/2026 1:06
TX-000018,CUST-0002,Mariam Qureshi,6.9715E+11,ATM,Uber,Dubai,Windows PC,142.33.50.108,6519.66,5,Low,Cleared,4/4/2026 21:41
TX-000019,CUST-0631,Bilal Iqbal,4.83276E+11,Bank Transfer,Daraz,Islamabad,Tablet,170.163.159.86,924.26,48,Medium,Under Review,4/16/2026 19:53
TX-000020,CUST-0689,Usman Sheikh,8.10967E+11,Bank Transfer,Amazon,Karachi,MacBook,57.46.206.246,6822.98,96,Critical,Blocked,4/14/2026 1:26
TX-000021,CUST-0571,Fatima Raza,4.8696E+11,Bank Transfer,Steam,Dubai,Windows PC,193.64.216.164,2724.88,59,Medium,Under Review,4/22/2026 11:07
TX-000022,CUST-0497,Noor Sheikh,2.02235E+11,UPI,Steam,Dubai,iPhone,53.214.108.100,8868.37,99,Critical,Blocked,4/1/2026 0:35
TX-000023,CUST-0878,Bilal Syed,4.92389E+11,ATM,Amazon,Dubai,Windows PC,172.174.205.104,7099.74,74,High,Flagged,4/23/2026 20:38
TX-000024,CUST-0638,Mariam Khan,9.56048E+11,Wallet,Careem,Islamabad,iPhone,121.5.192.139,519.92,59,Medium,Under Review,4/18/2026 22:34
TX-000025,CUST-0666,Sara Khan,7.91012E+11,UPI,Daraz,Lahore,Windows PC,28.149.7.238,3064.06,44,Medium,Under Review,4/14/2026 13:04
TX-000026,CUST-0407,Hamza Sheikh,66178619734,Wallet,Daraz,London,Windows PC,4.218.108.211,4809.07,86,Critical,Blocked,4/7/2026 16:02
TX-000027,CUST-0651,Zain Malik,4.79285E+11,Card,AliExpress,Dubai,Android,193.119.146.157,6551.57,55,Medium,Under Review,4/8/2026 6:22
TX-000028,CUST-0507,Ayesha Malik,4.32259E+11,Bank Transfer,Steam,New York,MacBook,115.203.5.24,2890.57,43,Medium,Under Review,4/23/2026 10:38
TX-000029,CUST-0314,Noor Farooq,3.53953E+11,Bank Transfer,Shopify,Lahore,MacBook,71.186.151.251,7452.44,51,Medium,Under Review,4/13/2026 16:13
TX-000030,CUST-0103,Fatima Iqbal,2.1053E+11,UPI,AliExpress,Dubai,MacBook,113.88.48.248,512.98,76,High,Flagged,4/11/2026 20:52
TX-000031,CUST-0842,Sara Syed,4.56189E+11,UPI,Careem,Dubai,MacBook,77.221.151.254,4208.24,61,High,Flagged,4/19/2026 13:22
